odd,807,807,R3E 0K7,Principal Sparling,General Wolfe,General Wolfe,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
ADMIRAL AVE,,,,,,,,,,
odd,1301,1301,R2X 1E6,Lord Nelson,Andrew Mynarski V.C.,Andrew Mynarski V.C.,Sisler,Stanley Knowles Lan,Sta,Sis
ADSUM DR,,,,,,,,,,
odd,835,835,R2R 0P4,Meadows West,Meadows West,Sisler,Sisler,Stanley Knowles Lan,Sta,Sis
AGNES ST,,,,,,,,,,
even,352,450,R3G 1N4,John M. King,General Wolfe,General Wolfe,Gordon Bell,Laura Secord Sac,Sta,Sis
"",480,578,R3G 1N6,John M. King,General Wolfe,General Wolfe,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
"",586,694,R3E 1X7,Wellington,General Wolfe,General Wolfe,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
Suite,From,To,Postal Code,Regular Elem. Catchment,Regular  Grade 7&8 Catch.,Regular  Grade 9 Catch.,Regular Gr.10 Catch.,Elementary FI Dual @ EFM*,78FD**,HSFD***
AGNES ST,,,,,,,,,,
odd,363,455,R3G 1N5,John M. King,General Wolfe,General Wolfe,Gordon Bell,Victoria-Albert Sac,Sta,Sis
"",525,581,R3G 1N7,John M. King,General Wolfe,General Wolfe,Daniel McIntyre,Laura Secord Sac,Sta,Sis
"",597,695,R3E 1X8,Wellington,General Wolfe,General Wolfe,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
AIKINS ST,,,,,,,,,,
even,82,82,R2W 4E5,David Livingstone,David Livingstone,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",104,104,R2W 4E7,David Livingstone,David Livingstone,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",122,130,R2W 4E8,David Livingstone,David Livingstone,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",150,158,R2W 4E9,William Whyte,William Whyte,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",164,180,R2W 4G2,William Whyte,William Whyte,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",196,200,R2W 4G3,William Whyte,William Whyte,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",218,220,R2W 4G5,William Whyte,William Whyte,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",260,260,R2W 4G6,Machray,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",286,286,R2W 4G7,Machray,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",344,362,R2W 4G9,Machray,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",386,396,R2W 4H3,Machray,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",404,432,R2W 4H4,Machray,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",442,460,R2W 4H6,Champlain,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",464,486,R2W 4H8,Champlain,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",518,530,R2W 4J1,Champlain,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",544,552,R2W 4J2,Champlain,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",558,566,R2W 4J3,Champlain,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",596,600,R2W 4J4,Champlain,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
odd,21,21,R2W 4E2,David Livingstone,David Livingstone,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",51,51,R2W 4E3,David Livingstone,David Livingstone,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",63,63,R2W 4E4,David Livingstone,David Livingstone,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",105,105,R2W 4E6,David Livingstone,David Livingstone,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",167,173,R2W 4G1,David Livingstone,David Livingstone,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",197,197,R2W 2P6,David Livingstone,David Livingstone,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",305,307,R2W 4G8,Machray,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
Suite,From,To,Postal Code,Regular Elem. Catchment,Regular  Grade 7&8 Catch.,Regular  Grade 9 Catch.,Regular Gr.10 Catch.,Elementary FI Dual @ EFM*,78FD**,HSFD***
AIKINS ST,,,,,,,,,,
odd,351,369,R2W 4H1,Machray,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",383,385,R2W 4H2,Machray,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",411,419,R2W 4H5,Machray,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",451,459,R2W 4H7,Champlain,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",467,487,R2W 4H9,Champlain,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",601,601,R2W 4J5,Champlain,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
AIRLIES ST,,,,,,,,,,
even,406,470,R2X 2A8,Robertson,Andrew Mynarski V.C.,Andrew Mynarski V.C.,Sisler,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",476,500,R2X 2B1,Robertson,Andrew Mynarski V.C.,Andrew Mynarski V.C.,Sisler,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",508,520,R2X 2B2,Robertson,Andrew Mynarski V.C.,Andrew Mynarski V.C.,Sisler,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",636,656,R2X 2B3,Robertson,Andrew Mynarski V.C.,Andrew Mynarski V.C.,Sisler,Luxton K-3/SKN 4-6 Lan,Sta,Sis
odd,373,469,R2X 2A7,Robertson,Andrew Mynarski V.C.,Andrew Mynarski V.C.,Sisler,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",475,501,R2X 2A9,Robertson,Andrew Mynarski V.C.,Andrew Mynarski V.C.,Sisler,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",637,657,R2X 2B4,Robertson,Andrew Mynarski V.C.,Andrew Mynarski V.C.,Sisler,Luxton K-3/SKN 4-6 Lan,Sta,Sis
ALBERT ST,,,,,,,,,,
even,22,50,R3B 1E7,Victoria-Albert,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
"",52,52,R3B 1E8,Victoria-Albert,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
"",54,58,R3B 1E7,Victoria-Albert,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
"",62,62,R3B 1E9,Victoria-Albert,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
"",64,70,R3B 1E7,Victoria-Albert,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
"",82,98,R3B 1G2,Victoria-Albert,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
odd,35,61,R3B 1G3,Victoria-Albert,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
"",63,63,R3B 1G4,Victoria-Albert,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
"",65,75,R3B 1G3,Victoria-Albert,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
"",85,93,R3B 1G5,Victoria-Albert,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
ALBINA WAY,,,,,,,,,,
even,10,84,R2R 1G8,Tyndall Park,Stanley Knowles,Sisler,Sisler,Stanley Knowles Lan,Sta,Sis
Suite From,,To,Postal Code,Regular Elem. Catchment,Regular  Grade 7&8 Catch.,Regular  Grade 9 Catch.,Regular Gr.10 Catch.,Elementary FI Dual @ EFM*,78FD**,HSFD***
ALBINA WAY,,,,,,,,,,
even 104,,226,R2R 1G8,Stanley Knowles,Stanley Knowles,Sisler,Sisler,Stanley Knowles Lan,Sta,Sis
odd 15,,83,R2R 1A5,Tyndall Park,Stanley Knowles,Sisler,Sisler,Stanley Knowles Lan,Sta,Sis
99,,179,R2R 1G5,Stanley Knowles,Stanley Knowles,Sisler,Sisler,Stanley Knowles Lan,Sta,Sis
ALEXANDER AVE,,,,,,,,,,
even 90,,112,R3B 0L2,Norquay,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
140,,146,R3B 0L3,Norquay,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
184,,184,R3B 0L6,Norquay,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
214,,224,R3B 0L7,Victoria-Albert,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
352,,396,R3A 0M7,Victoria-Albert,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
408,,488,R3A 0N4,Dufferin,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
514,,650,R3A 0N8,Dufferin,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
672,,814,R3E 1H9,Pinkham,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
936,,992,R3E 1K2,Pinkham,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
1000,,1000,R3E 3M1,Pinkham,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
1096,,1156,R3E 1K5,Weston,Cecil Rhodes,Cecil Rhodes,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
1166,,1222,R3E 1K8,Weston,Cecil Rhodes,Cecil Rhodes,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
1230,,1290,R3E 1L1,Weston,Cecil Rhodes,Cecil Rhodes,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
1292,,1328,R3E 1L2,Weston,Cecil Rhodes,Cecil Rhodes,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
1366,,1412,R3E 1L4,Weston,Cecil Rhodes,Cecil Rhodes,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
1428,,1486,R3E 1L6,Weston,Cecil Rhodes,Cecil Rhodes,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
1492,,1570,R3E 1L8,Weston,Cecil Rhodes,Cecil Rhodes,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
1576,,1666,R3E 1L9,Cecil Rhodes,Cecil Rhodes,Cecil Rhodes,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
odd 95,,95,R3B 2Y8,Norquay,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
155,,155,R3B 0L5,Norquay,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
201,,205,R3B 3C1,Victoria-Albert,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
281,,283,R3B 0L9,Victoria-Albert,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
311,,311,R3A 0M9,Victoria-Albert,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
333,,333,R3A 0N1,Victoria-Albert,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
385,,401,R3A 1R2,Victoria-Albert,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
Suite From,,To,Postal Code,Regular Elem. Catchment,Regular  Grade 7&8 Catch.,Regular  Grade 9 Catch.,Regular Gr.10 Catch.,Elementary FI Dual @ EFM*,78FD**,HSFD***
ALEXANDER AVE,,,,,,,,,,
odd 411,,427,R3A 0N5,Dufferin,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
439,,447,R3A 0N6,Dufferin,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
465,,477,R3A 0N7,Dufferin,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
545,,545,R3A 0P1,Dufferin,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
561,,589,R3A 0P2,Dufferin,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
621,,631,R3A 0P3,Dufferin,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
667,,673,R3E 1H8,Pinkham,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
691,,701,R3E 1J1,Pinkham,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
709,,727,R3E 1J2,Pinkham,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
737,,751,R3E 1J3,Pinkham,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
763,,777,R3E 1J4,Pinkham,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
789,,807,R3E 1J5,Pinkham,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
815,,833,R3E 1J6,Pinkham,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
841,,857,R3E 1J7,Pinkham,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
863,,887,R3E 1J8,Pinkham,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
891,,893,R3E 1J9,Pinkham,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
925,,933,R3E 1K1,Pinkham,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
955,,955,R3E 1K3,Pinkham,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
